pair_ID	lex_count_sw_s1	lex_count_sw_s2	lex_count_sw_dif	lex_overlap_rem_0sw	lex_overlap_rem_1sw	lex_overlap_rem_2sw	lex_overlap_rem_3sw	syn_count_dif_NPs	syn_count_dif_VPs	syn_count_dif_PPs	sentence1	sentence2	possentence1	possentence2
24	4.0	4.0	0.0	0.3	0.3	0.3	0.3	0.0	0.0	1.0	Arsenal do a Guard of honour to Manchester United                                                                                           	Win or lose Manchester United still the champion of BPL                                                                                     	Arsenal_NNP do_VBP a_DT Guard_NN of_IN honour_NN to_TO Manchester_NNP United_NNP                                                            	Win_NNP or_CC lose_VB Manchester_NNP United_NNP still_RB the_DT champion_NN of_IN BPL_NNP                                                   
25	6.0	3.0	3.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0	If the Knicks play like this they will lose the series                                                                                      	Maaaannnn if the Knicks lose this series                                                                                                    	If_IN the_DT Knicks_NNP play_NN like_IN this_DT they_PRP will_MD lose_VB the_DT series_NN                                                   	Maaaannnn_NNP if_IN the_DT Knicks_NNP lose_VBP this_DT series_NN                                                                            
26	2.0	5.0	3.0	0.385	0.385	0.385	0.385	1.0	1.0	0.0	So EJ Manuel is the 1st QB taken                                                                                                            	Who wouldve thought EJ Manuel would be the 1st qb taken in the draft                                                                        	So_RB EJ_NNP Manuel_NNP is_VBZ the_DT 1st_JJ QB_NN taken_VBN                                                                                	Who_WP wouldve_JJ thought_VBD EJ_NNP Manuel_NNP would_MD be_VB the_DT 1st_JJ qb_NN taken_VBN in_IN the_DT draft_NN                          
27	2.0	2.0	0.0	0.167	0.167	0.167	0.167	0.0	1.0	0.0	Is this nets bulls game serious                                                                                                             	This Nets and Bulls game though                                                                                                             	Is_VBZ this_DT nets_NNS bulls_NNS game_NN serious_JJ                                                                                        	This_DT Nets_NNP and_CC Bulls_NNP game_NN though_IN                                                                                         
28	2.0	3.0	1.0	0.222	0.222	0.222	0.222	0.0	0.0	0.0	Wow jr smith is suspended for game 4                                                                                                        	I knew JR was a goner for Game 4                                                                                                            	Wow_UH jr_NN smith_NN is_VBZ suspended_VBN for_IN game_NN 4_CD                                                                              	I_PRP knew_VBD JR_NNP was_VBD a_DT goner_NN for_IN Game_NNP 4_CD                                                                            
29	2.0	2.0	0.0	0.429	0.429	0.429	0.429	2.0	1.0	0.0	Chandler Parsons is not tryna lose                                                                                                          	Chandler Parsons is a beast white boy                                                                                                       	Chandler_NNP Parsons_NNPS is_VBZ not_RB tryna_. lose_VB                                                                                     	Chandler_NNP Parsons_NNPS is_VBZ a_DT beast_NN white_JJ boy_NN                                                                              
30	4.0	2.0	2.0	0.111	0.111	0.111	0.111	1.0	1.0	0.0	Marcus Lattimore picked in the 4th round by the 49ers                                                                                       	Im gonna be cheering for Marcus lattimore today                                                                                             	Marcus_NNP Lattimore_NNP picked_VBD in_IN the_DT 4th_JJ round_NN by_IN the_DT 49ers_NNS                                                     	Im_NNP gonna_NNP be_VB cheering_VBG for_IN Marcus_NNP lattimore_NN today_NN                                                                 
31	3.0	2.0	1.0	0.125	0.125	0.125	0.125	0.0	1.0	0.0	I am in love with Huck                                                                                                                      	So sad knowing that Huck lost his family                                                                                                    	I_PRP am_VBP in_IN love_NN with_IN Huck_NNP                                                                                                 	So_RB sad_JJ knowing_VBG that_IN Huck_NNP lost_VBD his_PRP$ family_NN                                                                       
32	4.0	2.0	2.0	0.571	0.571	0.571	0.571	0.0	1.0	0.0	so the Kings are staying in Sacramento                                                                                                      	Long live the Kings in Sacramento                                                                                                           	so_IN the_DT Kings_NNP are_VBP staying_VBG in_IN Sacramento_NNP                                                                             	Long_RB live_VB the_DT Kings_NNP in_IN Sacramento_NNP                                                                                       
33	1.0	9.0	8.0	0.286	0.286	0.286	0.286	0.0	3.0	1.0	Its ok game 6 in Chicago                                                                                                                    	win and go on to game 6 in Chicago and we will beat the BULLS                                                                               	Its_PRP$ ok_NN game_NN 6_CD in_IN Chicago_NNP                                                                                               	win_VB and_CC go_VB on_IN to_TO game_NN 6_CD in_IN Chicago_NNP and_CC we_PRP will_MD beat_VB the_DT BULLS_NNS                               
34	3.0	0.0	3.0	0	0	0	0	2.0	1.0	1.0	Have to leave the room when mufasa dies                                                                                                     	I hate seeing Mufasa die                                                                                                                    	Have_VBP to_TO leave_VB the_DT room_NN when_WRB mufasa_NN dies_NNS                                                                          	I_PRP hate_VBP seeing_VBG Mufasa_NNP die_VB                                                                                                 
35	3.0	0.0	3.0	0.143	0.143	0.143	0.143	1.0	1.0	0.0	what the hell is Brandon bass thinking                                                                                                      	Brandon Bass Has 5 Personal Fouls                                                                                                           	what_WP the_DT hell_NN is_VBZ Brandon_NNP bass_NN thinking_VBG                                                                              	Brandon_NNP Bass_NNP Has_VBZ 5_CD Personal_NNP Fouls_NNP                                                                                    
36	1.0	4.0	3.0	0.091	0.091	0.091	0.091	1.0	2.0	0.0	Congrats to Sac Kings fans                                                                                                                  	why yall forcing the kings to stay in sac town smh                                                                                          	Congrats_NNS to_TO Sac_NNP Kings_NNP fans_NNS                                                                                               	why_WRB yall_NN forcing_VBG the_DT kings_NNS to_TO stay_VB in_IN sac_NN town_NN smh_NN                                                      
37	4.0	0.0	4.0	0	0	0	0	4.0	1.0	0.0	hello Stella can you follow me please                                                                                                       	STELLA DO U HATE ME                                                                                                                         	hello_UH Stella_UH can_MD you_PRP follow_VB me_PRP please_VB                                                                                	STELLA_NNP DO_VB U_NNP HATE_NNP ME_NNP                                                                                                      
38	3.0	5.0	2.0	0.25	0.25	0.25	0.25	4.0	1.0	0.0	Calisi in Game of Thrones is gorgeous                                                                                                       	The TV show Game of Thrones has used a prop of George W                                                                                     	Calisi_NNP in_IN Game_NNP of_IN Thrones_NNP is_VBZ gorgeous_JJ                                                                              	The_DT TV_NN show_NN Game_NNP of_IN Thrones_NNP has_VBZ used_VBN a_DT prop_NN of_IN George_NNP W_NNP                                        
39	3.0	0.0	3.0	0.143	0.143	0.143	0.143	1.0	1.0	0.0	MC hammer is at the game aha                                                                                                                	MC HAMMER IN THE GOLDEN STATE CROWD                                                                                                         	MC_NNP hammer_NN is_VBZ at_IN the_DT game_NN aha_NN                                                                                         	MC_NNP HAMMER_NNP IN_IN THE_DT GOLDEN_NNP STATE_NNP CROWD_NNP                                                                               
40	1.0	4.0	3.0	0.5	0.5	0.5	0.5	0.0	1.0	0.0	First round draft pick from Central Michigan                                                                                                	Central Michigan produces the first pick in the draft                                                                                       	First_RB round_JJ draft_NN pick_NN from_IN Central_NNP Michigan_NNP                                                                         	Central_NNP Michigan_NNP produces_VBZ the_DT first_JJ pick_NN in_IN the_DT draft_NN                                                         
41	0.0	2.0	2.0	0.125	0.125	0.125	0.125	2.0	0.0	0.0	OMG LIZZIE MCGUIRE IS BACK ON DISNEY CHANNEL                                                                                                	OMG OMG OMG OMG Lizzie McGuire is on Disney Channel                                                                                         	OMG_NNP LIZZIE_NNP MCGUIRE_NNP IS_VBZ BACK_NNP ON_IN DISNEY_NNP CHANNEL_NNP                                                                 	OMG_NNP OMG_NNP OMG_NNP OMG_NNP Lizzie_NNP McGuire_NNP is_VBZ on_IN Disney_NNP Channel_NNP                                                  
42	3.0	4.0	1.0	0.111	0	0	0	1.0	2.0	1.0	I needs to go see iron man 3                                                                                                                	s Iron Man 3 is out in the UK                                                                                                               	I_PRP needs_VBZ to_TO go_VB see_VB iron_NN man_NN 3_CD                                                                                      	s_PRP Iron_NNP Man_NN 3_CD is_VBZ out_RB in_IN the_DT UK_NN                                                                                 
43	4.0	3.0	1.0	0.3	0.3	0.3	0.3	1.0	2.0	0.0	Steve Gleason of the Saints is so inspirational                                                                                             	Steve Gleason makes complaining about a draft pick is petty                                                                                 	Steve_NNP Gleason_NNP of_IN the_DT Saints_NNP is_VBZ so_RB inspirational_JJ                                                                 	Steve_NNP Gleason_NNP makes_VBZ complaining_VBG about_IN a_DT draft_NN pick_NN is_VBZ petty_JJ                                              
44	3.0	3.0	0.0	0.1	0.1	0.1	0.1	1.0	1.0	1.0	House voting on bill to end FAA furloughs                                                                                                   	One chart shows how bad the FAA sequester cuts are                                                                                          	House_NNP voting_NN on_IN bill_NN to_TO end_VB FAA_NNP furloughs_NNS                                                                        	One_CD chart_NN shows_VBZ how_WRB bad_JJ the_DT FAA_NNP sequester_NN cuts_NNS are_VBP                                                       
45	3.0	3.0	0.0	0.571	0.571	0.571	0.571	0.0	0.0	0.0	Peter Pan is on you guys                                                                                                                    	Oh my god Peter Pan is on                                                                                                                   	Peter_NNP Pan_NNP is_VBZ on_IN you_PRP guys_NNS                                                                                             	Oh_UH my_PRP$ god_NN Peter_NNP Pan_NNP is_VBZ on_IN                                                                                         
46	1.0	1.0	0.0	0.125	0.125	0.125	0.125	0.0	0.0	0.0	World s most awkward hug Joan                                                                                                               	I actually really enjoyed the Joan athome scenes                                                                                            	World_NNP s_VBZ most_RBS awkward_JJ hug_NN Joan_NNP                                                                                         	I_PRP actually_RB really_RB enjoyed_VBD the_DT Joan_NNP athome_NN scenes_NNS                                                                
47	1.0	4.0	3.0	0.286	0.286	0.286	0.286	2.0	2.0	0.0	Candice s voice is BEAUTIFUL                                                                                                                	Candice is the shit in the toilet water                                                                                                     	Candice_NNP s_VBZ voice_NN is_VBZ BEAUTIFUL_VBG                                                                                             	Candice_NNP is_VBZ the_DT shit_NN in_IN the_DT toilet_NN water_NN                                                                           
48	3.0	5.0	2.0	0.2	0.2	0.2	0.2	1.0	2.0	1.0	TKO in the first great performance SaraMcMann                                                                                               	McMann wins with a NICE CRUCIFIX to get the TKO                                                                                             	TKO_NNP in_IN the_DT first_JJ great_JJ performance_NN SaraMcMann_NNP                                                                        	McMann_NNP wins_VBZ with_IN a_DT NICE_NNP CRUCIFIX_NNP to_TO get_VB the_DT TKO_NN                                                           
49	0.0	1.0	1.0	0.571	0.571	0.571	0.571	5.0	0.0	0.0	New Pacific Rim trailer looks SO SO SO GOOD                                                                                                 	new trailer for Pacific Rim looks AMAAZINGGG                                                                                                	New_NNP Pacific_NNP Rim_NNP trailer_NN looks_VBZ SO_NNP SO_NNP SO_NNP GOOD_NNP                                                              	new_JJ trailer_NN for_IN Pacific_NNP Rim_NNP looks_VBZ AMAAZINGGG_.                                                                         
